"","X.1","X","Gender","County","Ethnicity","college","Stu_Department","ResidenceHall","Stu_DivisionCode","Stu_MajorDesc","UniPriorhours","UWFpriorhours","averageGPA1stFall","rankGPA1stFall","Stu_GPAGradePoints","GPA1stFall"
"761",761,761,"Female","Santa Rosa","White","Science and Engineering","Computer Science","Commuter","L","Cybersecurity",0,0,"Below2.7","under2.0",19.8,1.98
"762",762,762,"Female","Lake","White","Science and Engineering","Biology","Presidents Hall","L","Marine Biology",36,0,"Above2.7","above2.3",44.8,2.98666666666667
"763",763,763,"Male","Clay","Two or More","Business","Management & MIS","Argo Hall","L","General Business",10,0,"Below2.7","under2.0",24.9,1.91538461538462
"764",764,764,"Male","Okaloosa","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Mechanical Engineering",59,0,"Below2.7","above2.3",30.6,2.55
"765",765,765,"Female","Escambia","African American","No College Designated","Undeclared","Heritage Hall","L","Undeclared",0,0,"Above2.7","above2.3",50,3.125
"766",766,766,"Male","Escambia","White","Arts, Social Sciences and Humanities","Communication","Commuter","L","Communication",3,0,"Above2.7","above2.3",49,3.76923076923077
"767",767,767,"Female","Walton","Hispanic","Science and Engineering","Biology","Pace Hall","L","Biomedical Sciences",0,0,"Below2.7","above2.3",28.6,2.38333333333333
"768",768,768,"Male","Santa Rosa","Not Reported","Business","Accounting & Finance","Martin Hall","L","Finance",0,0,"Below2.7","Under1.0",0,0
"769",769,769,"Male","Non-Florida","White","Science and Engineering","Physics","Heritage Hall","L","Engineering",0,0,"Below2.7","under2.3",28.5,2.03571428571429
"770",770,770,"Male","Palm Beach","White","Science and Engineering","Biology","Heritage Hall","L","Biomedical Sciences",9,0,"Above2.7","above2.3",38.2,2.72857142857143
"771",771,771,"Female","Santa Rosa","White","Education and Professional Studies","Administration and Law","Commuter","L","Legal Studies",6,0,"Below2.7","under2.3",28.6,2.2
"772",772,772,"Female","Escambia","African American","Business","Accounting & Finance","Commuter","L","Professional Accountancy",9,0,"Below2.7","Under1.0",12,0.8
"773",773,773,"Female","Santa Rosa","Two or More","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",34,0,"Below2.7","under2.3",16.2,2.025
"774",774,774,"Female","Santa Rosa","White","Health","Nursing","Commuter","L","Pre-BSN",6,0,"Above2.7","above2.3",44.1,3.15
"775",775,775,"Male","Santa Rosa","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Pre-Electrical Engineering",12,0,"Above2.7","above2.3",46,3.28571428571429
"776",776,776,"Female","Clay","White","Education and Professional Studies","Criminal Justice","Heritage Hall","L","Criminal Justice",20,0,"Below2.7","above2.3",39,2.6
"777",777,777,"Female","Seminole","African American","Science and Engineering","Biology","Martin Hall","L","Marine Biology",0,0,"Below2.7","under2.3",24.3,2.025
"778",778,778,"Male","Escambia","White","Science and Engineering","Computer Science","Commuter","L","Cybersecurity",50,37,"Above2.7","above2.3",44.2,3.4
"779",779,779,"Female","Okaloosa","White","Business","Management & MIS","Commuter","U","General Business",62,0,"Above2.7","above2.3",40.2,3.35
"780",780,780,"Male","Santa Rosa","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Electrical Engineering",55,0,"Above2.7","above2.3",34.4,2.86666666666667
"781",781,781,"Male","Non-Florida","White","Health","Psychology","Martin Hall","L","Psychology",0,0,"Above2.7","above2.3",33.1,2.75833333333333
"782",782,782,"Male","Santa Rosa","White","Business","Management & MIS","Commuter","L","General Business",0,0,"Below2.7","above2.3",36.6,2.61428571428571
"783",783,783,"Male","Escambia","White","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",0,0,"Above2.7","above2.3",52.3,3.73571428571429
"784",784,784,"Male","Escambia","African American","Health","Movement Sciences and Health","Commuter","L","Fitness and Sport Coaching",13,0,"Below2.7","under2.3",26.1,2.175
"785",785,785,"Female","Santa Rosa","White","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",23,0,"Below2.7","Under1.0",0,0
"786",786,786,"Male","Escambia","White","Science and Engineering","Biology","Pace Hall","L","Marine Biology",0,0,"Below2.7","above2.3",39.6,2.64
"787",787,787,"Female","Escambia","White","Health","Psychology","Argo Hall","L","Psychology",3,0,"Above2.7","above2.3",45,3.46153846153846
"788",788,788,"Male","Escambia","African American","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Computer Engineering",6,0,"Below2.7","under2.0",25.5,1.82142857142857
"789",789,789,"Female","Collier","African American","Science and Engineering","Biology","Argo Hall","L","Biomedical Sciences",12,0,"Above2.7","above2.3",39.8,3.31666666666667
"790",790,790,"Male","Polk","White","Arts, Social Sciences and Humanities","Anthropology","Heritage Hall","U","Maritime Studies",61,0,"Above2.7","above2.3",44.6,3.18571428571429
"791",791,791,"Male","Bay","White","Health","Movement Sciences and Health","Heritage Hall","L","Exercise Science",33,0,"Above2.7","above2.3",56.1,3.50625
"792",792,792,"Male","Santa Rosa","Two or More","Science and Engineering","Computer Science","Commuter","L","Cybersecurity",23,0,"Above2.7","above2.3",58.8,3.675
"793",793,793,"Male","Non-Florida","White","Business","Marketing & Economics","Commuter","L","Comprehensive Marketing",0,0,"Below2.7","Under1.0",0,0
"794",794,794,"Female","Non-Florida","White","Health","Health Sciences & Admin","Argo Hall","L","Pre-Pharmacy",0,0,"Above2.7","above2.3",26.1,3.72857142857143
"795",795,795,"Female","Non-Florida","White","Science and Engineering","Biology","Heritage Hall","L","Biology",0,0,"Above2.7","above2.3",52.3,3.73571428571429
"796",796,796,"Female","Santa Rosa","Two or More","Arts, Social Sciences and Humanities","Art","Commuter","L","Digital Art--PENDING",9,0,"Above2.7","above2.3",48,4
"797",797,797,"Male","Escambia","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Electrical Engineering",6,0,"Above2.7","above2.3",49,3.76923076923077
"798",798,798,"Female","Bay","White","Science and Engineering","Chemistry","Pace Hall","L","Chemistry",33,0,"Above2.7","above2.3",49.3,3.28666666666667
"799",799,799,"Female","Pasco","White","Arts, Social Sciences and Humanities","Theatre","Commuter","L","Musical Theatre",12,0,"Above2.7","above2.3",57.1,3.56875
"800",800,800,"Male","Lee","Hispanic","Arts, Social Sciences and Humanities","Communication","Martin Hall","L","Communication",3,0,"Above2.7","above2.3",45,3.46153846153846
"801",801,801,"Female","Pasco","Hispanic","Health","Psychology","Heritage Hall","L","Psychology",21,0,"Above2.7","above2.3",57.3,3.82
"802",802,802,"Female","Escambia","White","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",33,21,"Above2.7","above2.3",55.1,3.93571428571429
"803",803,803,"Female","Escambia","White","No College Designated","Undeclared","Argo Hall","L","Undecided",24,0,"Above2.7","above2.3",52,4
"804",804,804,"Male","Escambia","African American","Science and Engineering","Computer Science","Presidents Hall","L","Cybersecurity",6,0,"Below2.7","under1.5",12,1
"805",805,805,"Female","Santa Rosa","White","Health","Nursing","Pace Hall","L","Pre-BSN",49,0,"Above2.7","above2.3",58.2,3.88
"806",806,806,"Female","Escambia","White","Business","Management & MIS","Commuter","L","General Business",9,0,"Below2.7","Under1.0",12.9,0.86
"807",807,807,"Female","Escambia","Non-Resident Alien","Health","Medical Lab Sciences","Commuter","L","Clinical Lab Sciences--PENDING",0,0,"Above2.7","above2.3",38.5,3.20833333333333
"808",808,808,"Female","Hernando","African American","Arts, Social Sciences and Humanities","Communication","Argo Hall","L","Journalism",19,0,"Below2.7","above2.3",29.1,2.425
"809",809,809,"Male","Palm Beach","White","Business","Management & MIS","Commuter","L","General Business",6,0,"Below2.7","under1.5",19.8,1.32
"810",810,810,"Male","Escambia","White","Health","Nursing","Commuter","L","Pre-BSN",0,0,"Above2.7","above2.3",41.1,3.425
"811",811,811,"Male","Santa Rosa","Not Reported","Arts, Social Sciences and Humanities","Anthropology","Martin Hall","L","Biological Anthropology",16,0,"Above2.7","above2.3",48,4
"812",812,812,"Female","Clay","African American","Arts, Social Sciences and Humanities","English","Commuter","L","English: Liberal Arts",14,0,"Below2.7","under2.0",18.9,1.575
"813",813,813,"Male","Duval","Two or More","Business","Accounting & Finance","Martin Hall","L","Professional Accountancy",9,0,"Below2.7","Under1.0",3,0.2
"814",814,814,"Male","Non-Florida","White","Business","Management & MIS","Commuter","L","General Business",0,0,"Above2.7","above2.3",41.1,3.425
"815",815,815,"Female","Santa Rosa","White","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",12,0,"Above2.7","above2.3",37.1,2.85384615384615
"816",816,816,"Female","Escambia","White","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",9,0,"Above2.7","above2.3",51.1,3.65
"817",817,817,"Male","Escambia","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Pre-Electrical Engineering",10,0,"Above2.7","above2.3",56,4
"818",818,818,"Female","Walton","Non-Resident Alien","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",57,0,"Below2.7","above2.3",27.9,2.325
"819",819,819,"Female","Okaloosa","Hispanic","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",13,0,"Below2.7","above2.3",23.1,2.56666666666667
"820",820,820,"Male","Escambia","Two or More","Business","Management & MIS","Martin Hall","L","General Business",10,0,"Below2.7","under2.0",24.9,1.91538461538462
"821",821,821,"Female","Santa Rosa","Hispanic","Health","Nursing","Commuter","L","Pre-BSN",29,0,"Above2.7","above2.3",45.5,3.5
"822",822,822,"Female","Osceola","Hispanic","Health","Nursing","Martin Hall","L","Pre-BSN",10,0,"Below2.7","above2.3",32.2,2.47692307692308
"823",823,823,"Male","Hillsborough","White","Arts, Social Sciences and Humanities","Communication","Argo Hall","L","Telecommunications and Film",0,0,"Below2.7","under2.0",24.2,1.86153846153846
"824",824,824,"Female","Bay","White","Business","Marketing & Economics","Martin Hall","L","Global Marketing",24,0,"Below2.7","under1.5",14.1,1.175
"825",825,825,"Female","Columbia","White","Health","Nursing","Argo Hall","L","Pre-BSN",38,0,"Above2.7","above2.3",64,4
"826",826,826,"Female","Escambia","African American","Health","Psychology","Commuter","L","Psychology",15,0,"Above2.7","above2.3",41.1,3.425
"827",827,827,"Male","Escambia","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Electrical Engineering",6,0,"Above2.7","above2.3",33.1,2.75833333333333
"828",828,828,"Female","Escambia","White","Science and Engineering","Mechanical Engineering","Commuter","L","Mechanical Engineering",25,0,"Above2.7","above2.3",41.1,2.74
"829",829,829,"Male","Santa Rosa","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Pre-Electrical Engineering",35,3,"Above2.7","above2.3",54.4,3.88571428571429
"830",830,830,"Male","Manatee","Hispanic","Health","Exercise Sci & Community Hlth","Argo Hall","L","Athletic Training--PENDING",8,0,"Below2.7","Under1.0",7.1,0.591666666666667
"831",831,831,"Male","Escambia","White","Arts, Social Sciences and Humanities","History","Commuter","L","History",21,0,"Above2.7","above2.3",54,3.6
"832",832,832,"Male","Escambia","White","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",35,0,"Below2.7","under1.5",14.8,1.13846153846154
"833",833,833,"Female","Escambia","African American","No College Designated","Undeclared","Commuter","L","Undecided",12,0,"Above2.7","above2.3",39,2.78571428571429
"834",834,834,"Female","Santa Rosa","White","Science and Engineering","Chemistry","Argo Hall","L","Biochemistry",43,24,"Above2.7","above2.3",52,4
"835",835,835,"Female","Broward","White","No College Designated","Undeclared","Commuter","L","Undecided",6,0,"Below2.7","above2.3",32,2.46153846153846
"836",836,836,"Male","Santa Rosa","White","Business","Marketing & Economics","Commuter","L","Sales Management",37,0,"Above2.7","above2.3",33.9,2.825
"837",837,837,"Male","Santa Rosa","Two or More","Arts, Social Sciences and Humanities","Art","Commuter","L","Digital Art--PENDING",3,3,"Below2.7","Under1.0",0,0
"838",838,838,"Female","Santa Rosa","White","Education and Professional Studies","Criminal Justice","Commuter","L","Criminal Justice",21,0,"Below2.7","above2.3",41.2,2.42352941176471
"839",839,839,"Male","Santa Rosa","African American","Education and Professional Studies","Legl Stds, Pub Adm & Sprt Mgmt","Heritage Hall","L","Sport Management",0,0,"Below2.7","above2.3",36,2.57142857142857
"840",840,840,"Female","Santa Rosa","White","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",24,0,"Below2.7","above2.3",37.2,2.65714285714286
"841",841,841,"Female","Dade","Hispanic","Science and Engineering","Biology","Martin Hall","L","Biomedical Sciences",9,0,"Below2.7","Under1.0",7,0.7
"842",842,842,"Female","Santa Rosa","African American","Health","Nursing","Commuter","L","Pre-BSN",12,0,"Above2.7","above2.3",40.2,3.35
"843",843,843,"Male","Non-Florida","White","Science and Engineering","Mechanical Engineering","Presidents Hall","L","Mechanical Engineering",31,0,"Below2.7","under2.3",17.2,2.15
"844",844,844,"Female","Gulf","White","Education and Professional Studies","Teacher Ed & Ed Leadership","Commuter","L","Elementary Education--PENDING",3,0,"Above2.7","above2.3",35.1,3.51
"845",845,845,"Female","Brevard","Two or More","Business","Management & MIS","Argo Hall","L","Management",24,0,"Above2.7","above2.3",57,3.8
"846",846,846,"Male","Monroe","White","Science and Engineering","Biology","Martin Hall","L","Marine Biology",6,0,"Above2.7","above2.3",40.9,3.14615384615385
"847",847,847,"Female","Escambia","Asian","Health","Psychology","Commuter","L","Psychology",30,0,"Above2.7","above2.3",48,4
"848",848,848,"Male","Santa Rosa","White","Science and Engineering","Computer Science","Commuter","L","Cybersecurity",40,0,"Below2.7","under2.3",19.8,2.2
"849",849,849,"Male","Bay","Two or More","Science and Engineering","Electrical & Computer Engineer","Argo Hall","L","Pre-Electrical Engineering",44,0,"Above2.7","above2.3",33.2,2.76666666666667
"850",850,850,"Male","Escambia","White","No College Designated","Undeclared","Commuter","L","Undecided",3,0,"Below2.7","under1.5",13.2,1.46666666666667
"851",851,851,"Female","Escambia","Two or More","No College Designated","Undeclared","Commuter","L","Undecided",0,0,"Above2.7","above2.3",43,3.07142857142857
"852",852,852,"Male","Duval","Two or More","Science and Engineering","Physics","Argo Hall","L","Physics",0,0,"Below2.7","Under1.0",0,0
"853",853,853,"Female","Marion","White","Arts, Social Sciences and Humanities","Art","Pace Hall","L","Graphic Design",30,0,"Above2.7","above2.3",42.9,3.575
"854",854,854,"Female","Santa Rosa","White","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",15,0,"Above2.7","above2.3",44,3.14285714285714
"855",855,855,"Female","Duval","White","Education and Professional Studies","Criminal Justice","Martin Hall","L","Criminal Justice",3,0,"Below2.7","under1.5",6,1
"856",856,856,"Male","Non-Florida","White","Science and Engineering","Biology","Pace Hall","L","Marine Biology",25,0,"Below2.7","above2.3",38.9,2.59333333333333
"857",857,857,"Male","Seminole","Hispanic","Health","Exercise Sci & Community Hlth","Martin Hall","L","Athletic Training Ed--PENDING",17,0,"Above2.7","above2.3",42.9,3.3
"858",858,858,"Female","Duval","White","Science and Engineering","Biology","Presidents Hall","L","Biomedical Sciences",3,0,"Above2.7","above2.3",45,3.46153846153846
"859",859,859,"Female","Escambia","White","Health","Nursing","Commuter","L","Pre-BSN",27,0,"Above2.7","above2.3",37.9,2.91538461538462
"860",860,860,"Female","Escambia","White","Arts, Social Sciences and Humanities","Anthropology","Commuter","L","Archaeology",39,9,"Above2.7","above2.3",60.1,3.75625
"861",861,861,"Male","Escambia","Two or More","Science and Engineering","Biology","Commuter","L","Biology",5,0,"Below2.7","Under1.0",7,0.636363636363636
"862",862,862,"Male","Santa Rosa","Asian","Health","Psychology","Commuter","L","Psychology",6,0,"Above2.7","above2.3",45.1,3.22142857142857
"863",863,863,"Female","Okaloosa","White","Health","Movement Sciences and Health","Heritage Hall","L","Exercise Science",37,0,"Above2.7","above2.3",47.2,3.37142857142857
"864",864,864,"Male","Escambia","Two or More","Business","Management & MIS","Martin Hall","L","General Business",0,0,"Below2.7","above2.3",29.1,2.425
"865",865,865,"Male","Non-Florida","African American","Science and Engineering","Computer Science","Heritage Hall","L","Cybersecurity",0,0,"Above2.7","above2.3",34,3.4
"866",866,866,"Male","Santa Rosa","African American","Business","Accounting & Finance","Commuter","L","Finance",0,0,"Below2.7","above2.3",34,2.61538461538462
"867",867,867,"Female","Okaloosa","White","Arts, Social Sciences and Humanities","Art","Heritage Hall","L","Graphic Design",6,0,"Above2.7","above2.3",42.1,3.23846153846154
"868",868,868,"Female","Okaloosa","White","Science and Engineering","Biology","Commuter","L","Marine Biology",9,3,"Below2.7","above2.3",29.5,2.45833333333333
"869",869,869,"Female","Santa Rosa","Hispanic","Business","Management & MIS","Commuter","L","General Business",0,0,"Above2.7","above2.3",49,3.76923076923077
"870",870,870,"Male","Santa Rosa","White","Arts, Social Sciences and Humanities","Government","Martin Hall","L","Political Science",4,0,"Below2.7","Under1.0",5.3,0.53
"871",871,871,"Female","Escambia","White","Science and Engineering","Biology","Commuter","L","Biology",3,0,"Below2.7","under2.3",28,2
"872",872,872,"Female","Escambia","White","No College Designated","Undeclared","Commuter","L","Undecided",9,0,"Below2.7","Under1.0",9,0.75
"873",873,873,"Female","Escambia","African American","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",0,0,"Above2.7","above2.3",53.2,3.54666666666667
"874",874,874,"Male","Escambia","White","Health","Nursing","Commuter","L","Pre-BSN",32,0,"Above2.7","above2.3",46.2,3.55384615384615
"875",875,875,"Female","Okaloosa","White","Health","Movement Sciences and Health","Pace Hall","L","Exercise Science",37,0,"Above2.7","above2.3",48,3.69230769230769
"876",876,876,"Female","Okaloosa","White","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",46,0,"Above2.7","above2.3",42,3.5
"877",877,877,"Female","Santa Rosa","White","Business","Global Hosp & Tourism Mgmt","Commuter","L","Global Hosp & Tour/Svc Mgt",26,0,"Above2.7","above2.3",45.9,3.825
"878",878,878,"Female","Clay","White","Arts, Social Sciences and Humanities","Art","Argo Hall","L","Fine Arts--PENDING",9,0,"Above2.7","above2.3",50.4,3.36
"879",879,879,"Female","Pinellas","White","Education and Professional Studies","Social Work","Martin Hall","L","Social Work",7,0,"Below2.7","Under1.0",10.3,0.792307692307692
"880",880,880,"Female","Escambia","White","Arts, Social Sciences and Humanities","Communication","Commuter","L","Public Relations",0,0,"Above2.7","above2.3",39.3,3.275
"881",881,881,"Female","Osceola","Hispanic","Arts, Social Sciences and Humanities","Communication","Martin Hall","L","Communication",7,0,"Below2.7","under1.5",15.2,1.16923076923077
"882",882,882,"Female","Osceola","African American","Science and Engineering","Biology","Presidents Hall","U","Biomedical Sciences",68,0,"Above2.7","above2.3",43.6,3.35384615384615
"883",883,883,"Female","Santa Rosa","White","Education and Professional Studies","Teacher Ed & Ed Leadership","Commuter","L","Elementary Education--PENDING",46,0,"Above2.7","above2.3",52.2,3.48
"884",884,884,"Female","Escambia","White","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",12,12,"Above2.7","above2.3",48,4
"885",885,885,"Male","Collier","White","Science and Engineering","Biology","Heritage Hall","L","Marine Biology",0,0,"Below2.7","Under1.0",0,0
"886",886,886,"Female","Escambia","White","Education and Professional Studies","Teacher Ed & Ed Leadership","Martin Hall","L","Elementary Education--PENDING",21,0,"Below2.7","Under1.0",0,0
"887",887,887,"Male","Escambia","White","Business","Management & MIS","Southside building 14","L","General Business",12,0,"Below2.7","under2.3",30.9,2.06
"888",888,888,"Male","Broward","Hispanic","Health","Exercise Sci & Community Hlth","Martin Hall","L","Athletic Training--PENDING",7,0,"Below2.7","under1.5",10.3,1.03
"889",889,889,"Male","Escambia","White","Science and Engineering","Computer Science","Commuter","L","Cybersecurity",6,0,"Above2.7","above2.3",35.3,2.71538461538462
"890",890,890,"Female","Gulf","White","Arts, Social Sciences and Humanities","Arts, SS, and Hum, Dean","Commuter","L","General Studies",21,0,"Above2.7","above2.3",56.1,3.74
"891",891,891,"Female","Escambia","White","No College Designated","Undeclared","Commuter","L","Undecided",24,0,"Above2.7","above2.3",49.9,3.83846153846154
"892",892,892,"Female","Bay","White","No College Designated","Undeclared","Commuter","L","Undecided",0,0,"Below2.7","Under1.0",0,0
"893",893,893,"Male","Walton","White","Business","Accounting & Finance","Commuter","L","Professional Accountancy",4,0,"Above2.7","above2.3",46.2,3.85
"894",894,894,"Female","Santa Rosa","White","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",28,0,"Above2.7","above2.3",34.2,3.42
"895",895,895,"Female","Okaloosa","White","Health","Nursing","Commuter","L","Pre-BSN",52,0,"Above2.7","above2.3",42.9,3.3
"896",896,896,"Male","Bay","White","Health","Movement Sciences and Health","Heritage Hall","L","Exercise Science",6,0,"Above2.7","above2.3",40.1,2.86428571428571
"897",897,897,"Male","Non-Florida","Hispanic","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",0,0,"Below2.7","above2.3",29.7,2.475
"898",898,898,"Female","Santa Rosa","White","Health","Nursing","Commuter","L","Pre-BSN",0,0,"Above2.7","above2.3",55,3.92857142857143
"899",899,899,"Female","Escambia","African American","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",18,9,"Above2.7","above2.3",48.1,3.43571428571429
"900",900,900,"Female","Walton","White","Science and Engineering","Earth & Environmental Sciences","Presidents Hall","L","Natural Science",9,0,"Above2.7","above2.3",52.9,3.77857142857143
"901",901,901,"Female","Santa Rosa","Not Reported","Arts, Social Sciences and Humanities","Art","Martin Hall","L","Studio Art",15,0,"Above2.7","above2.3",38.7,3.225
"902",902,902,"Female","Escambia","White","Education and Professional Studies","Teacher Ed & Ed Leadership","Commuter","L","Elementary Education--PENDING",12,0,"Above2.7","above2.3",42,3.5
"903",903,903,"Male","Escambia","White","Science and Engineering","Mechanical Engineering","Presidents Hall","L","Mechanical Engineering",0,0,"Below2.7","under2.3",26.9,2.06923076923077
"904",904,904,"Female","Santa Rosa","White","Health","Medical Lab Sciences","Southside building 15","L","Clinical Lab Sciences--PENDING",0,0,"Below2.7","Under1.0",0,0
"905",905,905,"Male","Okaloosa","White","Business","Management & MIS","Commuter","L","General Business",10,7,"Above2.7","above2.3",46.9,3.60769230769231
"906",906,906,"Female","Escambia","Two or More","Science and Engineering","Biology","Commuter","L","Biology",28,0,"Above2.7","above2.3",52,4
"907",907,907,"Female","Non-Florida","White","Arts, Social Sciences and Humanities","Communication","Argo Hall","L","Communication",0,0,"Below2.7","above2.3",14.1,2.35
"908",908,908,"Female","Leon","White","Science and Engineering","Biology","Heritage Hall","L","Biology",9,0,"Above2.7","above2.3",48.9,3.76153846153846
"909",909,909,"Male","Escambia","White","No College Designated","Undeclared","Commuter","L","Undecided",3,0,"Above2.7","above2.3",45.9,3.825
"910",910,910,"Female","Okaloosa","White","Education and Professional Studies","Criminal Justice","Commuter","L","Criminal Justice",0,0,"Above2.7","above2.3",54.9,3.66
"911",911,911,"Male","Escambia","African American","Science and Engineering","Biology","Commuter","L","Biomedical Sciences",3,0,"Above2.7","above2.3",50.1,3.57857142857143
"912",912,912,"Male","Santa Rosa","Two or More","Science and Engineering","Mechanical Engineering","Commuter","L","Mechanical Engineering",24,0,"Below2.7","under2.0",19.2,1.6
"913",913,913,"Female","Escambia","Native Hawaiian or Pacific Islander","Science and Engineering","Chemistry","Pace Hall","L","Chemistry",38,0,"Above2.7","above2.3",53,3.78571428571429
"914",914,914,"Male","Osceola","White","Business","Management & MIS","Heritage Hall","L","General Business",6,0,"Below2.7","Under1.0",8.1,0.9
"915",915,915,"Male","Santa Rosa","White","Science and Engineering","Computer Science","Commuter","L","Computer Science",26,0,"Below2.7","under1.5",11.1,1.23333333333333
"916",916,916,"Female","Orange","African American","Health","Psychology","Southside building 15","L","Psychology",3,0,"Above2.7","above2.3",35.9,2.99166666666667
"917",917,917,"Male","Escambia","Two or More","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Computer Engineering",12,0,"Above2.7","above2.3",39,3
"918",918,918,"Male","Escambia","White","Business","Management & MIS","Argo Hall","L","General Business",6,0,"Above2.7","above2.3",40.2,3.35
"919",919,919,"Female","Santa Rosa","White","Science and Engineering","Biology","Pace Hall","L","Preprofessional Biology",34,0,"Above2.7","above2.3",50.3,3.35333333333333
"920",920,920,"Male","Santa Rosa","White","Arts, Social Sciences and Humanities","Arts, SS, and Hum, Dean","Commuter","L","General Studies",3,0,"Above2.7","above2.3",37.2,3.1
"921",921,921,"Male","Okaloosa","White","Business","Management & MIS","Commuter","L","General Business",0,0,"Above2.7","above2.3",40.8,3.4
"922",922,922,"Male","Leon","Two or More","Science and Engineering","Computer Science","Commuter","L","Computer Science",33,0,"Above2.7","above2.3",68,4
"923",923,923,"Female","Wakulla","White","Health","Nursing","Argo Hall","L","Pre-BSN",21,0,"Above2.7","above2.3",42.9,3.3
"924",924,924,"Male","Santa Rosa","White","Science and Engineering","Earth & Environmental Sciences","Commuter","L","Environmental Management",3,0,"Above2.7","above2.3",51.1,3.65
"925",925,925,"Female","Okaloosa","Two or More","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",6,0,"Above2.7","above2.3",42.1,3.23846153846154
"926",926,926,"Female","Volusia","White","Science and Engineering","Computer Science","Argo Hall","L","Cybersecurity",6,0,"Above2.7","above2.3",47.9,3.42142857142857
"927",927,927,"Male","Santa Rosa","White","Health","Movement Sciences and Health","Commuter","L","Exercise Science",0,0,"Below2.7","above2.3",33.8,2.41428571428571
"928",928,928,"Male","Broward","Hispanic","Science and Engineering","Computer Science","Heritage Hall","L","Cybersecurity",0,0,"Above2.7","above2.3",58,3.625
"929",929,929,"Male","Bay","White","Science and Engineering","Computer Science","Argo Hall","L","Software Engineering",31,0,"Below2.7","Under1.0",0,0
"930",930,930,"Male","Escambia","White","Science and Engineering","Information Technology","Commuter","L","Information Technology",54,0,"Above2.7","above2.3",45.1,3.46923076923077
"931",931,931,"Male","Okaloosa","White","Science and Engineering","Electrical & Computer Engineer","Commuter","L","Pre-Electrical Engineering",12,0,"Below2.7","above2.3",27.9,2.325
"932",932,932,"Male","Lee","White","Science and Engineering","Biology","Commuter","L","Marine Biology",43,0,"Above2.7","above2.3",46,3.53846153846154
"933",933,933,"Male","Duval","White","No College Designated","Undeclared","Heritage Hall","L","Undecided",6,6,"Above2.7","above2.3",39,3.25
"934",934,934,"Female","Non-Florida","White","Arts, Social Sciences and Humanities","History","Pace Hall","L","History",0,0,"Above2.7","above2.3",47.1,3.925
"935",935,935,"Female","Santa Rosa","Hispanic","No College Designated","Undeclared","Martin Hall","L","Undecided",3,0,"Below2.7","under2.3",27.9,2.14615384615385
"936",936,936,"Female","Escambia","Two or More","Arts, Social Sciences and Humanities","Government","Commuter","L","International Studies",6,0,"Above2.7","above2.3",27,2.7
"937",937,937,"Male","Santa Rosa","White","Science and Engineering","Computer Science","Commuter","L","Cybersecurity",9,0,"Below2.7","under2.3",26,2
"938",938,938,"Female","Escambia","White","Science and Engineering","Biology","Commuter","L","Preprofessional Biology",51,51,"Above2.7","above2.3",40.4,3.36666666666667
"939",939,939,"Female","Okaloosa","White","Arts, Social Sciences and Humanities","English","Heritage Hall","L","English: Creative Writing",9,0,"Above2.7","above2.3",28.8,3.2
"940",940,940,"Male","Escambia","Hispanic","Science and Engineering","Earth & Environmental Sciences","Commuter","L","Natural Science",9,0,"Below2.7","above2.3",37.7,2.69285714285714
"941",941,941,"Female","Bay","White","Science and Engineering","Electrical & Computer Engineer","Heritage Hall","L","Mechanical Engineering",27,0,"Above2.7","above2.3",45.2,3.76666666666667
"942",942,942,"Male","Santa Rosa","White","Business","Accounting & Finance","Commuter","L","Professional Accountancy",0,0,"Above2.7","above2.3",53.1,3.54
"943",943,943,"Male","Santa Rosa","White","Science and Engineering","Computer Science","Heritage Hall","L","Cybersecurity",6,0,"Below2.7","Under1.0",0,0
"944",944,944,"Male","Santa Rosa","White","Science and Engineering","Mechanical Engineering","Commuter","L","Mechanical Engineering",0,0,"Below2.7","above2.3",22.9,2.54444444444444
